event,flag,grp,dev_only,eval_only,both,z_eval_excess
inf_fold_Ystrong,deficit_16,tight,0,0,0,0.0
inf_fold_Ystrong,deficit_25,sym,0,0,0,0.0
inf_fold_Ystrong,deficit_25,tight,0,0,0,0.0
inf_fold_Yweak,dirtop_G6,sym,3,2,0,-0.45
inf_fold_Yweak,dirtop_G6,tight,1,0,0,-1.0
inf_fold_Yweak,dirtop_G10,sym,0,0,0,0.0
inf_fold_Yweak,dirtop_G10,tight,0,0,0,0.0
inf_fold_Yweak,dirtop_G16,sym,0,0,0,0.0
inf_fold_Yweak,dirtop_G16,tight,0,0,0,0.0
inf_fold_Yweak,dirtop_G25,sym,0,0,0,0.0
inf_fold_Yweak,dirtop_G25,tight,0,0,0,0.0
inf_fold_Yweak,symtop_G3,sym,0,0,0,0.0
inf_fold_Yweak,symtop_G3,tight,0,0,0,0.0
inf_fold_Yweak,symtop_G6,sym,0,0,0,0.0
inf_fold_Yweak,symtop_G6,tight,0,0,0,0.0
inf_fold_Yweak,symtop_G10,sym,0,0,0,0.0
inf_fold_Yweak,symtop_G10,tight,0,0,0,0.0
inf_fold_Yweak,gmax_16,sym,0,0,0,0.0
inf_fold_Yweak,gmax_16,tight,0,0,0,0.0
inf_fold_Yweak,gmax_25,sym,0,0,0,0.0
inf_fold_Yweak,gmax_25,tight,0,0,0,0.0
inf_fold_Yweak,gmax_40,sym,0,0,0,0.0
inf_fold_Yweak,gmax_40,tight,0,0,0,0.0
inf_fold_Yweak,deficit_10,sym,3,4,0,0.38
inf_fold_Yweak,deficit_10,tight,0,2,0,1.41
inf_fold_Yweak,deficit_16,sym,0,0,0,0.0
inf_fold_Yweak,deficit_16,tight,0,0,0,0.0
inf_fold_Yweak,deficit_25,sym,0,0,0,0.0
inf_fold_Yweak,deficit_25,tight,0,0,0,0.0
inf_raise_Ystrong,dirtop_G6,sym,205,215,2,0.49
inf_raise_Ystrong,dirtop_G6,tight,40,36,1,-0.46
inf_raise_Ystrong,dirtop_G10,sym,10,16,0,1.18
inf_raise_Ystrong,dirtop_G10,tight,0,7,0,2.65
inf_raise_Ystrong,dirtop_G16,sym,0,0,0,0.0
inf_raise_Ystrong,dirtop_G16,tight,0,0,0,0.0
inf_raise_Ystrong,dirtop_G25,sym,0,0,0,0.0
inf_raise_Ystrong,dirtop_G25,tight,0,0,0,0.0
inf_raise_Ystrong,symtop_G3,sym,10,18,0,1.51
inf_raise_Ystrong,symtop_G3,tight,1,3,0,1.0
inf_raise_Ystrong,symtop_G6,sym,0,0,0,0.0
inf_raise_Ystrong,symtop_G6,tight,0,0,0,0.0
inf_raise_Ystrong,symtop_G10,sym,0,0,0,0.0
inf_raise_Ystrong,symtop_G10,tight,0,0,0,0.0
inf_raise_Ystrong,gmax_16,sym,0,0,0,0.0
inf_raise_Ystrong,gmax_16,tight,0,0,0,0.0
inf_raise_Ystrong,gmax_25,sym,0,0,0,0.0
inf_raise_Ystrong,gmax_25,tight,0,0,0,0.0
inf_raise_Ystrong,gmax_40,sym,0,0,0,0.0
inf_raise_Ystrong,gmax_40,tight,0,0,0,0.0
inf_raise_Ystrong,deficit_10,sym,7,12,0,1.15
inf_raise_Ystrong,deficit_10,tight,0,0,0,0.0
inf_raise_Ystrong,deficit_16,sym,0,0,0,0.0
inf_raise_Ystrong,deficit_16,tight,0,0,0,0.0
inf_raise_Ystrong,deficit_25,sym,0,0,0,0.0
inf_raise_Ystrong,deficit_25,tight,0,0,0,0.0
inf_raise_Yweak,dirtop_G6,sym,181,192,1,0.57
inf_raise_Yweak,dirtop_G6,tight,38,33,0,-0.59
inf_raise_Yweak,dirtop_G10,sym,11,8,0,-0.69
inf_raise_Yweak,dirtop_G10,tight,1,0,0,-1.0
inf_raise_Yweak,dirtop_G16,sym,0,1,0,1.0
inf_raise_Yweak,dirtop_G16,tight,0,0,0,0.0
inf_raise_Yweak,dirtop_G25,sym,0,0,0,0.0
inf_raise_Yweak,dirtop_G25,tight,0,0,0,0.0
inf_raise_Yweak,symtop_G3,sym,8,8,0,0.0
inf_raise_Yweak,symtop_G3,tight,1,2,0,0.58
inf_raise_Yweak,symtop_G6,sym,1,0,0,-1.0
inf_raise_Yweak,symtop_G6,tight,0,0,0,0.0
inf_raise_Yweak,symtop_G10,sym,0,0,0,0.0
inf_raise_Yweak,symtop_G10,tight,0,0,0,0.0
inf_raise_Yweak,gmax_16,sym,0,1,0,1.0
inf_raise_Yweak,gmax_16,tight,0,0,0,0.0
inf_raise_Yweak,gmax_25,sym,0,0,0,0.0
inf_raise_Yweak,gmax_25,tight,0,0,0,0.0
inf_raise_Yweak,gmax_40,sym,0,0,0,0.0
inf_raise_Yweak,gmax_40,tight,0,0,0,0.0
inf_raise_Yweak,deficit_10,sym,78,72,2,-0.49
inf_raise_Yweak,deficit_10,tight,15,13,0,-0.38
inf_raise_Yweak,deficit_16,sym,2,0,0,-1.41
inf_raise_Yweak,deficit_16,tight,0,0,0,0.0
inf_raise_Yweak,deficit_25,sym,0,0,0,0.0
inf_raise_Yweak,deficit_25,tight,0,0,0,0.0
bhp_fold_Ybetter,dirtop_G6,sym,1,2,0,0.58
bhp_fold_Ybetter,dirtop_G6,tight,1,1,0,0.0
bhp_fold_Ybetter,dirtop_G10,sym,0,0,0,0.0
bhp_fold_Ybetter,dirtop_G10,tight,0,0,0,0.0
bhp_fold_Ybetter,dirtop_G16,sym,0,0,0,0.0
bhp_fold_Ybetter,dirtop_G16,tight,0,0,0,0.0
bhp_fold_Ybetter,dirtop_G25,sym,0,0,0,0.0
bhp_fold_Ybetter,dirtop_G25,tight,0,0,0,0.0
bhp_fold_Ybetter,symtop_G3,sym,0,0,0,0.0
bhp_fold_Ybetter,symtop_G3,tight,0,0,0,0.0
bhp_fold_Ybetter,symtop_G6,sym,0,0,0,0.0
bhp_fold_Ybetter,symtop_G6,tight,0,0,0,0.0
bhp_fold_Ybetter,symtop_G10,sym,0,0,0,0.0
bhp_fold_Ybetter,symtop_G10,tight,0,0,0,0.0
bhp_fold_Ybetter,gmax_16,sym,0,0,0,0.0
bhp_fold_Ybetter,gmax_16,tight,0,0,0,0.0
bhp_fold_Ybetter,gmax_25,sym,0,0,0,0.0
bhp_fold_Ybetter,gmax_25,tight,0,0,0,0.0
bhp_fold_Ybetter,gmax_40,sym,0,0,0,0.0
bhp_fold_Ybetter,gmax_40,tight,0,0,0,0.0
bhp_fold_Ybetter,deficit_10,sym,2,2,0,0.0
bhp_fold_Ybetter,deficit_10,tight,0,0,0,0.0
bhp_fold_Ybetter,deficit_16,sym,0,0,0,0.0
bhp_fold_Ybetter,deficit_16,tight,0,0,0,0.0
bhp_fold_Ybetter,deficit_25,sym,0,0,0,0.0
bhp_fold_Ybetter,deficit_25,tight,0,0,0,0.0
bhp_fold_Yworse,dirtop_G6,sym,31,36,0,0.61
bhp_fold_Yworse,dirtop_G6,tight,8,6,0,-0.53
bhp_fold_Yworse,dirtop_G10,sym,1,1,0,0.0
bhp_fold_Yworse,dirtop_G10,tight,0,0,0,0.0
bhp_fold_Yworse,dirtop_G16,sym,0,0,0,0.0
bhp_fold_Yworse,dirtop_G16,tight,0,0,0,0.0
bhp_fold_Yworse,dirtop_G25,sym,0,0,0,0.0
bhp_fold_Yworse,dirtop_G25,tight,0,0,0,0.0
bhp_fold_Yworse,symtop_G3,sym,5,2,0,-1.13
bhp_fold_Yworse,symtop_G3,tight,0,1,0,1.0
bhp_fold_Yworse,symtop_G6,sym,0,0,0,0.0
bhp_fold_Yworse,symtop_G6,tight,0,0,0,0.0
bhp_fold_Yworse,symtop_G10,sym,0,0,0,0.0
bhp_fold_Yworse,symtop_G10,tight,0,0,0,0.0
bhp_fold_Yworse,gmax_16,sym,0,0,0,0.0
